=================================================================
                        LOG DETAILS OF JOB
=================================================================

17/03/20 23:29:32 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/20 23:29:33 INFO client.RMProxy: Connecting to ResourceManager at yogihadoopcluster-1-m/10.138.0.4:8032
17/03/20 23:29:34 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/20 23:29:37 INFO input.FileInputFormat: Total input paths to process : 3033
17/03/20 23:29:37 INFO mapreduce.JobSubmitter: number of splits:3033
17/03/20 23:29:37 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490049993001_0005
17/03/20 23:29:37 INFO impl.YarnClientImpl: Submitted application application_1490049993001_0005
17/03/20 23:29:37 INFO mapreduce.Job: The url to track the job: http://yogihadoopcluster-1-m:8088/proxy/application_1490049993001_0005/
17/03/20 23:29:37 INFO mapreduce.Job: Running job: job_1490049993001_0005
17/03/20 23:29:46 INFO mapreduce.Job: Job job_1490049993001_0005 running in uber mode : false
17/03/21 02:18:34 INFO mapreduce.Job:  map 100% reduce 48%
17/03/21 02:18:37 INFO mapreduce.Job:  map 100% reduce 49%
17/03/21 02:18:43 INFO mapreduce.Job:  map 100% reduce 50%
17/03/21 02:18:51 INFO mapreduce.Job:  map 100% reduce 54%
17/03/21 02:18:54 INFO mapreduce.Job:  map 100% reduce 55%
17/03/21 02:18:57 INFO mapreduce.Job:  map 100% reduce 56%
17/03/21 02:19:01 INFO mapreduce.Job:  map 100% reduce 60%
17/03/21 02:19:04 INFO mapreduce.Job:  map 100% reduce 62%
17/03/21 02:19:07 INFO mapreduce.Job:  map 100% reduce 63%
17/03/21 02:19:09 INFO mapreduce.Job:  map 100% reduce 64%
17/03/21 02:19:13 INFO mapreduce.Job:  map 100% reduce 65%
17/03/21 02:19:16 INFO mapreduce.Job:  map 100% reduce 66%
17/03/21 02:19:19 INFO mapreduce.Job:  map 100% reduce 67%
17/03/21 02:19:22 INFO mapreduce.Job:  map 100% reduce 70%
17/03/21 02:19:25 INFO mapreduce.Job:  map 100% reduce 71%
17/03/21 02:19:31 INFO mapreduce.Job:  map 100% reduce 72%
17/03/21 02:19:32 INFO mapreduce.Job:  map 100% reduce 76%
17/03/21 02:19:35 INFO mapreduce.Job:  map 100% reduce 78%
17/03/21 02:19:40 INFO mapreduce.Job:  map 100% reduce 79%
17/03/21 02:19:41 INFO mapreduce.Job:  map 100% reduce 80%
17/03/21 02:19:44 INFO mapreduce.Job:  map 100% reduce 81%
17/03/21 02:19:47 INFO mapreduce.Job:  map 100% reduce 82%
17/03/21 02:19:49 INFO mapreduce.Job:  map 100% reduce 83%
17/03/21 02:20:00 INFO mapreduce.Job:  map 100% reduce 87%
17/03/21 02:20:03 INFO mapreduce.Job:  map 100% reduce 88%
17/03/21 02:20:06 INFO mapreduce.Job:  map 100% reduce 92%
17/03/21 02:20:09 INFO mapreduce.Job:  map 100% reduce 94%
17/03/21 02:20:12 INFO mapreduce.Job:  map 100% reduce 96%
17/03/21 02:20:15 INFO mapreduce.Job:  map 100% reduce 97%
17/03/21 02:20:18 INFO mapreduce.Job:  map 100% reduce 98%
17/03/21 02:20:21 INFO mapreduce.Job:  map 100% reduce 99%
17/03/21 02:20:24 INFO mapreduce.Job:  map 100% reduce 100%
17/03/21 02:20:30 INFO mapreduce.Job: Job job_1490049993001_0005 completed successfully
17/03/21 02:20:30 INFO mapreduce.Job: Counters: 56
	File System Counters
		FILE: Number of bytes read=3418070575
		FILE: Number of bytes written=7216355257
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1140280826
		GS: Number of bytes written=336329135
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=427326
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3033
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=1
		Launched map tasks=3033
		Launched reduce tasks=12
		Rack-local map tasks=3033
		Total time spent by all maps in occupied slots (ms)=154695360
		Total time spent by all reduces in occupied slots (ms)=79771740
		Total time spent by all map tasks (ms)=25782560
		Total time spent by all reduce tasks (ms)=6647645
		Total vcore-milliseconds taken by all map tasks=25782560
		Total vcore-milliseconds taken by all reduce tasks=13295290
		Total megabyte-milliseconds taken by all map tasks=79204024320
		Total megabyte-milliseconds taken by all reduce tasks=40843130880
	Map-Reduce Framework
		Map input records=3033
		Map output records=210475007
		Map output bytes=2997120460
		Map output materialized bytes=3418288879
		Input split bytes=427326
		Combine input records=0
		Combine output records=0
		Reduce input groups=1220954
		Reduce shuffle bytes=3418288879
		Reduce input records=210475007
		Reduce output records=1220954
		Spilled Records=420950014
		Shuffled Maps =36396
		Failed Shuffles=0
		Merged Map outputs=36396
		GC time elapsed (ms)=506923
		CPU time spent (ms)=6768520
		Physical memory (bytes) snapshot=1005316837376
		Virtual memory (bytes) snapshot=13399055421440
		Total committed heap usage (bytes)=839229374464
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1140280826
	File Output Format Counters 
		Bytes Written=336329135
Job output is complete

=============================================================================================================
